step        paths
10 :        274
15 :        5768
20 :        121415
25 :        2555757
30 :        53798080
35 :        1132436852
40 :        23837527729
50 :        10562230626642
60 :        4680045560037375
70 :        2073693258389777176
80 :        918838005896863447985
90 :        407130262715950048358946
100 :       180396380815100901214157639
200 :       52622583840983769603765180599790256716084480555530641
500 :       1306186569702186634983475450062372018715120191391192207156664343051610913971927959744519676992404852130396504615663042713312314219527
1000 :      2758842807766486252615892411656158645133100149652696210351601845036392978912293462801016485671033253921841350537004356434253826361707295202024537559785200706502368152965047761644352316799391470273906561574500883480570560512982435681502330814068718832813973880527601
2000 :      12307516888231715478661306247331605395181498155116638135759888308480121394335366865324869212743411419291838857075471318231732902663268830712015554515760773475690297833813245908694475832432759332451105443902964089208128587465460161157939952055330361442920533916253653676287000672321790199349554222499561097390697582719218261156333874270668758878696565020296221093009362724575150129546492743744582091352227060664820621853352681150829574307355334723160835896073398908705117145284070346215046702900068794557160538510236537824537097009
4000 :      244938700205517138229984287264897327068684681961946941383125981266951115011517067540739168259827987421519495307355311532952531489579168792332448880794123775204152563497693631027301473818694070397687869925969303286271499912648829623558816012225591075377496296373516159266327299897782952520690592765665259870151110157350722613632746689727867999215548388715825287763340000047456280678289796478936513852432534848013262914328880686127627898514609931960097319583144945208051952666313531218594255537474949322783917767557966973336481582497087883157762932537098058867414135526522409922675307166859001963991762438467335484943337180876134887445457642212644391049640370949286460766261207796072116389963181628807737578407670066207550811278685203207460434912603935805573622602758775068192969306318206231191357695609464387930386992305281821425832255513417501856219536446429312067175740834761118647057108303171957115047670140852746060142409164148776370225390295355568245534450443331733183640923398077889070009538876528303544298696570264883299163407719242353089208185181994401
8000 :      97013315213643572032327806800942542732819400165680298336227132717943167060689091753044195745458452920520204134284121515777527266299938334728164170539511469654440696927078520809146744136186145311294128717712302019937118952015079609606257632938975583047550966670647872773529507814242349568194247859298654059322161377079505312740968367350897610099866212097051644182451637965621895496599967292518380669617955009872428569171428708828116656798955291299613970479673333579267667172538143943125022721458403349675685916294149231367265677576661090534874157004069704669807345712811673992252164756985675792976724696720289140252818018668751142418026069482348481730185857328538013776851853613776362642190517021200625750403532041215582958069870204407448940465353307849904180252759393659068726358165433490791307797763258368825398903499474952291764334220047856061326598490530570260385140302945995830298689700378980485533361784558973310965387732906633720047229985373060909361414400798624665244192593610865744802336925689684315586834701838046426675861890231125937948197931814064440256323748949437506200674647836722387409282757652855237854486493307054122399757690159685582832752132483553361085822524847411375725776495243954562255712107583361168372760112593131974462033162434625565639149020797053077111076541531171415944210420769080448512669605531520400142231974391107083432918852251595186358854571326582568718750800542588200320285803173140202880857648883403828320059578398727815364412337342309554339884786588417124967999859665879819650355049008849600398069335882515175277550829418052533193387168536525659821935503006007145903773107481674014775463441368359605143226173511763219721952018032392717809395676871420293494005852583846415345999215847471187234928456991269351217764237568637231200940662380166776721681479574826447828218401413011298899159665199194062711388757081086252555789520006023011951446948360809335261565646079378933076997716171036237777163817640816964784386956105135281046262477016469090372543866498969966551418809823083235877572348580355636031358458856473331070101773620207620964647624727001276382370520013004227964881037377
